,Entidade,Código,Ano,Conversão_líquida_de_floresta,Área_de_Floresta,Produção_Óleo,População
123,Senegal,SEN,2010,-40000.0,0.2062227865127829,180978.0,12678143
124,Liberia,LBR,1990,-30260.0,0.201236274945284,25685.0,2075917
125,Belarus,BLR,2000,26110.000000000007,0.1989634985360635,16900.0,9979610
126,Liberia,LBR,2000,-30260.0,0.1977523536326093,47060.0,2848447
127,Somalia,SOM,1990,-76750.0,0.1955064546258305,14631.0,7225089
128,Liberia,LBR,2010,-30260.0,0.1928745699293236,47060.0,3891357
129,Somalia,SOM,2000,-76750.0,0.1807337956604033,9026.0,8872250
130,Guinea,GIN,1990,-34700.0,0.1717482600492052,63237.0,6352282
131,Honduras,HND,1990,-20950.0,0.1649448950806261,90437.0,4955302
132,Somalia,SOM,2010,-76750.0,0.164320023711763,9532.0,12043886
133,Honduras,HND,2000,-20280.0,0.163015630753299,109711.0,6574510
134,Honduras,HND,2010,-22330.0,0.1601306241298238,389098.0,8317467
135,Romania,ROU,2010,69200.0,0.1586580147435547,412177.0,20246871
136,Romania,ROU,2000,14900.0,0.1531006444676151,325138.0,22442971
137,Nicaragua,NIC,1990,-100000.0,0.1510544358848378,12631.0,4173435
138,Nepal,NPL,2010,0.0,0.1451916874353823,22988.0,27013207
139,Nepal,NPL,2000,18130.0,0.1390257746642492,27255.0,23941099
140,Morocco,MAR,2010,2020.0,0.1381912526052699,235366.0,32343384
141,Nepal,NPL,1990,10880.0,0.133886219213729,5928.0,18905480
142,Morocco,MAR,2000,16799.999999999993,0.13243085497749,133892.0,28793672
143,Nicaragua,NIC,2000,-121120.0,0.1298522418609619,17299.0,5069310
144,Morocco,MAR,1990,2120.0,0.1294789737995196,141586.0,24807461
145,Guatemala,GTM,1990,-57200.0,0.112859095787144,23065.0,9050115
146,Panama,PAN,1990,-16530.0,0.1087565878711803,114.0,2470946
147,Panama,PAN,2000,-11420.0,0.106832311783753,11699.0,3030333
148,Panama,PAN,2010,-11420.0,0.1053983578250126,12381.0,3642691
149,Nicaragua,NIC,2010,-56120.0,0.1019928725169944,33079.0,5824058
150,Guatemala,GTM,2000,-48660.0,0.101230165361779,77961.0,11589761
151,Austria,AUT,2010,3600.0000000000005,0.0940794539612127,199483.0,8363404
152,Austria,AUT,2000,2510.0000000000005,0.0923062688590845,130307.0,8011566
153,Bulgaria,BGR,2010,19200.0,0.091006139845996,177254.0,7395599
154,Guatemala,GTM,2010,-27360.0,0.0906554605808683,209643.0,14259687
155,Austria,AUT,1990,6249.999999999999,0.0891237978312236,39948.0,7677850
156,Uganda,UGA,1990,-41250.0,0.084398124155873,37957.0,17354395
157,Malawi,MWI,1990,-42000.0,0.0826568007441316,6588.0,9404499
158,Latvia,LVA,2010,3860.0,0.0821203169112871,54208.0,2097555
159,Uzbekistan,UZB,2010,39960.0,0.0815718935049901,282959.0,28562400
160,Bulgaria,BGR,2000,36200.0,0.0811678723025763,162259.0,8170172
161,Portugal,PRT,2010,12000.0,0.0791950673746799,362944.0,10573100
162,Bulgaria,BGR,1990,4800.0,0.0785330485409161,140574.0,8718289
163,Latvia,LVA,2000,13110.0,0.0779452071504148,1400.0,2367550
164,Uganda,UGA,2000,-41250.0,0.0760681249479804,72261.0,23650159
165,United Kingdom,GBR,2010,19200.0,0.0744949911128985,936300.0,62766365
166,Malawi,MWI,2000,-42000.0,0.0741140835777331,17635.0,11148751
167,Cuba,CUB,2010,50400.0,0.0714021948162858,28872.0,11225833
168,Uzbekistan,UZB,2000,38810.0,0.0712223668969066,316248.0,24650400
169,United Kingdom,GBR,2000,10500.0,0.0710429317872031,805967.0,58892514
170,Costa Rica,CRI,2010,16370.000000000002,0.069921549030191,285604.0,4577371
171,Georgia,GEO,2010,0.0,0.0687331359650359,7700.0,3786695
172,Costa Rica,CRI,2000,1400.0,0.0687153979556643,183723.0,3962369
173,Costa Rica,CRI,1990,-5020.0,0.0686284897288427,94219.0,3119436
