Entidade,Código,Ano,Conversão_líquida_de_floresta,Área_de_Floresta,Produção_Óleo,População,Perde,Teste
Ireland,IRL,2010,0.0015043348307239557,3.847066008183888e-09,0.0021056301814302365,4560155,0,0.1468234767614702
Algeria,DZA,2010,0.00021124342577799634,1.298272351114441e-09,0.001855412158020867,35977451,0,0.37993232454338427
Denmark,DNK,2010,0.001377151506313537,2.5745217793922617e-09,0.03814673621401944,5547683,0,0.3637670615688461
Norway,NOR,2010,0.001595336055494787,6.02784841255404e-08,0.017952234820377434,4889252,0,-0.3627081505477815
Azerbaijan,AZE,2010,0.0010028348861075558,2.7770197579974976e-09,0.0012751907042949165,9054332,0,0.19617576466485298
Portugal,PRT,2010,0.0011349556894382916,7.490241024361814e-09,0.034327113145624276,10573100,0,0.12438275774126911
Costa Rica,CRI,2010,0.0035762886600190376,1.5275482155628418e-08,0.06239476765156243,4577371,0,-0.005691618950018517
Burundi,BDI,2010,0.0019756544960663268,5.443963021052017e-10,0.001857161332591637,8675606,0,0.5709767905377413
Poland,POL,2010,0.000478408604793854,5.971869148305269e-09,0.02525658341498261,38042794,0,0.16053913725860988
Bulgaria,BGR,2010,0.0025961385953997777,1.230544542044478e-08,0.02396749742651001,7395599,0,-0.0006758238382837768
United Kingdom,GBR,2010,0.0003058963188325467,1.1868616433801528e-09,0.01491722517306841,62766365,0,0.4922380657241076
Belarus,BLR,2010,0.0020968153378986307,2.2144480671966166e-08,0.01690760198820241,9490583,0,-0.14529884443534483
Ukraine,UKR,2010,0.0004752484813794484,5.069022864947477e-09,0.06749958541110117,45870741,0,0.2402272437672027
Finland,FIN,2010,0.006227448804404409,1.0099157173757744e-07,0.022713780486531557,5363352,0,-0.4656718306179963
Uzbekistan,UZB,2010,0.0013990420973027478,2.8559187429974407e-09,0.009906695515782988,28562400,0,0.28108337031204633
Cuba,CUB,2010,0.004489644554662447,6.360525300553269e-09,0.002571924952028059,11225833,0,0.045209949779187825
Italy,ITA,2010,0.0009077655998404924,3.708957007400697e-09,0.01917581867644469,59277417,0,0.25298174755522285
Romania,ROU,2010,0.0034178120658742775,7.836174525118212e-09,0.020357565373928643,20246871,0,0.09125203336978252
Turkey,TUR,2010,0.0015131280449213207,7.098739654243959e-09,0.022642528808608547,72326992,0,0.11769762234704621
Vietnam,VNM,2010,0.0015319267064695542,3.7063141767893843e-09,0.0023114745982486403,87967655,0,0.15915786138761268
India,IND,2010,0.00021583412919670393,1.371176315901726e-09,0.006371846412112829,1234281163,0,0.42272903633661196
United States,USA,2010,0.0008890264117559189,2.430492755273889e-08,0.03568918618952233,309327143,0,-0.13257229787269248
China,CHN,2010,0.0014478304259907828,3.6520830574356165e-09,0.01456443087227752,1337705000,0,0.24415952944306243
